ebno_db,no,data rate
-3.0,1.07761,7292597.976922989
-0.5,0.6059846,11438897.029459476
0.5,0.48135072,13505552.094876766
1.0,0.42900422,14627859.00682211
1.5,0.38235044,15808836.330771446
3.5,0.2412468,21095317.08061695
4.0,0.21501148,22548873.386085033
4.5,0.19162919,24050875.98145008
-2.5,0.9604209,8009357.439279556
6.5,0.12090985,30492909.4684124
7.0,0.107760996,32198879.81414795
-1.5,0.76288944,9608872.617781162
-1.0,0.679926,10494549.617618322
7.5,0.09604209,33937849.76363182
8.0,0.0855976,35707327.43740082
8.5,0.07628894,37504912.91821003
9.0,0.06799259,39328307.15060234
11.5,0.03823505,48760901.54528618
-2.0,0.8559759,8780909.32622552
12.0,0.03407702,50698029.309511185
14.5,0.019162916,60558859.12299156
0.0,0.54008436,12442500.0
18.0,0.008559761,74681829.23555374
